row,week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
539,2025-05-12,2025-05-18,0,4,0,0
540,2025-05-19,2025-05-25,0,0,0,0
541,2025-05-26,2025-06-01,0,0,0,0
542,2025-06-02,2025-06-08,0,0,0,0
543,2025-06-09,2025-06-15,0,0,0,0
544,2025-06-16,2025-06-22,0,0,0,0
545,2025-06-23,2025-06-29,0,0,0,0
546,2025-06-30,2025-07-06,0,0,0,1
547,2025-07-07,2025-07-13,0,0,0,0
548,2025-07-14,2025-07-20,0,1,0,0
549,2025-07-21,2025-07-27,0,0,0,0
550,2025-07-28,2025-08-03,0,0,0,0
551,2025-08-04,2025-08-10,0,0,0,0
552,2025-08-11,2025-08-17,0,0,0,0
553,2025-08-18,2025-08-24,0,0,0,0
554,2025-08-25,2025-08-31,0,0,0,0
555,2025-09-01,2025-09-07,0,0,0,0
556,2025-09-08,2025-09-14,0,0,0,0
557,2025-09-15,2025-09-21,0,0,0,0
558,2025-09-22,2025-09-28,0,0,0,0
559,2025-09-29,2025-10-05,0,0,0,0
560,2025-10-06,2025-10-12,0,0,0,0
561,2025-10-13,2025-10-19,0,0,0,0
562,2025-10-20,2025-10-26,0,0,0,0
563,2025-10-27,2025-11-02,0,0,0,0
564,2025-11-03,2025-11-09,0,0,0,0
565,2025-11-10,2025-11-16,0,0,0,0
566,2025-11-17,2025-11-23,0,0,0,0
567,2025-11-24,2025-11-30,0,0,0,0
568,2025-12-01,2025-12-07,0,0,0,0
569,2025-12-08,2025-12-14,0,0,0,2
570,2025-12-15,2025-12-21,0,0,0,2
